evidence_id,evidence_type,product_name,model_name,manufacturer,kc_certification_number,recall_reason,corrective_action,publication_date,source,brand_name,business_type,legal_category,manufacturer_country,raw_source_row
KATS-RECALL-0011,recall,유아용의자,B2mamaroorundahighchair,(주)힐링비트,CB082R008-9001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),마마루,수입,어린이>유아용의자,,11
KATS-RECALL-0012,recall,유아용의자,리엔더하이체어,(주)인태니아이,CB081T016-7001CB381T016-2001,낙상 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),리엔더,수입,어린이>유아용의자,국외>유럽지역>덴마크,12
KATS-RECALL-0013,recall,아동용섬유제품,마린키즈파자마_라이언,글로벌세인트㈜,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),카카오프렌즈샵,수입,어린이>아동용섬유제품,국내>아시아지역>대한민국,13
KATS-RECALL-0014,recall,아동용섬유제품,서클로고베기스쇼츠(ODK20BHP01),(주)라포르인터내셔널,,질식 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),OUTDOOR,제조,어린이>아동용섬유제품,국내>아시아지역>대한민국,14
KATS-RECALL-0015,recall,어린이용안경테,IE-534,성광사,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,제조,어린이>어린이용안경테(선글라스포함),국내>아시아지역>대한민국,15
KATS-RECALL-0016,recall,어린이용안경테,,홀릭아이웨어,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>어린이용안경테(선글라스포함),,16
KATS-RECALL-0017,recall,어린이용안경테,MAYRASPBERRY,언커먼키즈,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,제조,어린이>어린이용안경테(선글라스포함),국내>아시아지역>대한민국,17
KATS-RECALL-0018,recall,어린이용안경테,el-JR7612,강남옵틱,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),ELFIN,제조,어린이>어린이용안경테(선글라스포함),국내>아시아지역>대한민국,18
KATS-RECALL-0019,recall,어린이용안경테,ELTRAEyewearBB/SK-P-3626C10,(주)성광옵틱,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>어린이용안경테(선글라스포함),국외>아시아지역>중국,19
KATS-RECALL-0020,recall,어린이용안경테,Aubreylightpink,도트엔도트,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),키즈스퀘어,제조,어린이>어린이용안경테(선글라스포함),,20
KATS-RECALL-0021,recall,가스라이터,대왕라이터,(주)미래스피드해운항공,A051R065-1001A(온라인표기),화재및화상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,생활용품>가스라이터>가스라이터,국내>아시아지역>대한민국,21
KATS-RECALL-0022,recall,가스라이터,SPK-D,일화산업,A051R080-6001,화재및화상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,생활용품>가스라이터>가스라이터,,22
KATS-RECALL-0023,recall,가정용압력냄비및압력솥,PerfectRDS3.0L,선우실업(주),L032T038-17001,화재및화상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기계금속>가정용압력냄비및압력솥>압력솥,국외>유럽지역>독일,23
KATS-RECALL-0024,recall,가구,가이온마린5단800서랍장,가이온퍼니처,,열상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),가이온,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),국내>아시아지역>대한민국,24
KATS-RECALL-0025,recall,가구,제이플5단서랍장,동서가구,,제조불량 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),국내>아시아지역>대한민국,25
KATS-RECALL-0026,recall,가구,웨이브W하이글로시그레이5단서랍장,(주)웨스트프롬,,열상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),웨스트프롬,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),국내>아시아지역>대한민국,26
KATS-RECALL-0027,recall,가구,리마하이그로시4단900광폭대형서랍장,플랜데코,,열상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),노하우,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),국내>아시아지역>대한민국,27
KATS-RECALL-0028,recall,가구,레시피5단서랍장,리센,,제조불량 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),리센,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),국내>아시아지역>대한민국,28
KATS-RECALL-0029,recall,비비탄총,M82,대진무역,A101R030-4002,기타 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,생활용품>비비탄총>성인용비비탄총,국내>아시아지역>대한민국,29
KATS-RECALL-0030,recall,가구,하버8005단서랍장,히트가구,,제조불량 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),히트가구,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),국내>아시아지역>대한민국,30
KATS-RECALL-0031,recall,가구,벤티8005단수납서랍장,상일리베가구,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),국내>아시아지역>대한민국,31
KATS-RECALL-0032,recall,가구,와이더8005단수납서랍장,(주)오하임아이엔티,,제조불량 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),포더홈,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),국내>아시아지역>대한민국,32
KATS-RECALL-0033,recall,속눈썹열성형기,EDEL-EYE,에덴샵,,화재및화상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,생활>속눈썹열성형기>속눈썹열성형기,,33
KATS-RECALL-0034,recall,실내용바닥재,물이잘빠지는푹신한욕실매트,(주)비스비바,B675R0010-18001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,건축>실내용바닥재>PVC바닥재-비닐장판-비온돌용,국내>아시아지역>대한민국,34
KATS-RECALL-0035,recall,실내용바닥재,물이잘빠지는푹신한욕실매트,(주)비스비바,B675R0010-18001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,건축>실내용바닥재>실내용바닥재,국내>아시아지역>대한민국,35
KATS-RECALL-0036,recall,실내용바닥재,욕실매트,주식회사히키스,B671R028-20001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,건축>실내용바닥재>PVC바닥재-비닐장판-비온돌용,,36
KATS-RECALL-0037,recall,실내용바닥재,욕실매트,주식회사히키스,B671R028-20001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,건축>실내용바닥재>실내용바닥재,,37
KATS-RECALL-0038,recall,실내용바닥재,욕실매트MONACO,주식회사모나코올리브,B671R015-19001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,건축>실내용바닥재>PVC바닥재-비닐장판-비온돌용,국외>아시아지역>중국,38
KATS-RECALL-0039,recall,실내용바닥재,욕실매트MONACO,주식회사모나코올리브,B671R015-19001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,건축>실내용바닥재>실내용바닥재,국외>아시아지역>중국,39
KATS-RECALL-0040,recall,완구,미니공,(주)아이산업,CB061R431-8002,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국내>아시아지역>대한민국,40
KATS-RECALL-0041,recall,변압기및전압조정기,500VA다운트랜스승압A타입,(주)한일테크,HA06019-13010,화재및화상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),한일전자시스템100VA200VA500VA가정용소형변압기100W200W500W다운트랜스승압트랜스강압기승압기,제조,절연변압기>변압기및전압조정기>가정용소형변압기,,41
KATS-RECALL-0042,recall,일반조명기구,LID-TUL-BE,(주)디지탈조명,HH111066-17001,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),국산엘그림LED사각욕실등25W주광색전구색,제조,조명기기>일반조명기구>LED등기구,국내>아시아지역>대한민국,42
KATS-RECALL-0043,recall,일반조명기구,AAB06-08W-57KB,(주)에어텍시스템,JH11402-16005,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),에어텍LEDT5슬림바슬림형광등간접조명디밍조광,제조,조명기기>일반조명기구>LED등기구,국내>아시아지역>대한민국,43
KATS-RECALL-0044,recall,일반조명기구,UNL-F-12,유니크라이트,JL11055-16004,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),유니크라이트,제조,조명기기>일반조명기구>LED등기구,,44
KATS-RECALL-0045,recall,일반조명기구,HSC-DL410IG-A,(주)한승,JU11257-16006A,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),ZHEJIANGGUANGMULIGHTINGCO.LTD,제조,조명기기>일반조명기구>LED등기구,국외>아시아지역>중국,45
KATS-RECALL-0046,recall,일반조명기구,GB-LCF15FLCD,(주)글로벌엘이디,JH11649-16001E,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),(주)글로벌엘이디,수입,조명기기>일반조명기구>LED등기구,국내>아시아지역>대한민국,46
KATS-RECALL-0047,recall,일반조명기구,ER-W20,창조테크,HD11243-18003,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,제조,조명기기>일반조명기구>LED등기구,,47
KATS-RECALL-0048,recall,변압기및전압조정기,1000VA다운트랜스DL-1000D,대림테크,HD06009-19004,화재및화상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),1K1000W다운트랜스소형변압기가정용변압기가정용트랜스DL-1000D,제조,절연변압기>변압기및전압조정기>가정용소형변압기,국내>아시아지역>대한민국,48
KATS-RECALL-0049,recall,직류전원장치,IVP1200-1500E4,에어로코리아주식회사,HU10595-17008,화재및화상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),솔러스에어공기청정기,수입,정보통신사무기기>직류전원장치>직류전원장치,,49
KATS-RECALL-0050,recall,직류전원장치,W&T-AD05W090050K,(주)벤하임코리아,HU10424-18014,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),컴포트아쿠아맙무선충전식물걸레청소기LAM-2019,수입,정보통신사무기기>직류전원장치>직류전원장치,국내>아시아지역>대한민국,50
KATS-RECALL-0051,recall,직류전원장치,HN1205CNC,(주)하늘컴,HA10101-18002,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),[하늘컴]아답터220V/12V5A[내경2.5mm/외경5.5mm]전원케이블일체형[비닐포장],제조,정보통신사무기기>직류전원장치>직류전원장치,,51
KATS-RECALL-0052,recall,직류전원장치,HDD19,바이퍼럭스,HU10814-18004,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),그랩비3포트핸드폰고속충전기CTM-03클레버타키온바이퍼럭스,수입,정보통신사무기기>직류전원장치>직류전원장치,국외>아시아지역>중국,52
KATS-RECALL-0053,recall,직류전원장치,SD1205B,두현일렉,JH10092-19004D,화재및화상 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),큐브온6포트올퀵고속충전기,제조,정보통신사무기기>직류전원장치>직류전원장치,국내>아시아지역>대한민국,53
KATS-RECALL-0054,recall,직류전원장치,FORLGLCB-PTA02,(주)그린전산,HU10974-18001,감전 | 명령에따른리콜,교환수거수리환불,2020-09-23,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,정보통신사무기기>직류전원장치>직류전원장치,국내>아시아지역>대한민국,54
KATS-RECALL-0055,recall,SWISSBALL,SWISSBALLBASICSWISSBALLSTABLEGRISSWISSBALLSTABLEBORDEAUX,(주)데카트론코리아,,기타 | 자발적리콜,수거환불파기제조유통금지,2020-10-13,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),DOMYOS,수입,기타생활용품>,국내>아시아지역>대한민국,55
KATS-RECALL-0056,recall,몰티(molti),헬로베이비세트(SK500)글라이드(K501G),주식회사시디즈,,기타 | 자발적리콜,교환환불제조유통금지개선조치,2020-09-15,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),몰티(molti),제조,어린이>유아용의자,국내>아시아지역>대한민국,56
KATS-RECALL-0057,recall,기타어린이제품(줄넘기),캐릭터줄넘기노랑,㈜금홍팬시,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국외>아시아지역>중국,57
KATS-RECALL-0058,recall,기타어린이제품(줄넘기),캐릭터줄넘기민트,㈜금홍팬시,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국외>아시아지역>중국,58
KATS-RECALL-0059,recall,기타어린이제품(줄넘기),프랜즈구슬줄넘기하늘,㈜프랜즈코리아,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,59
KATS-RECALL-0060,recall,기타어린이제품(줄넘기),프랜즈구슬줄넘기분홍,㈜프랜즈코리아,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,60
KATS-RECALL-0061,recall,기타어린이제품(축구공),베스타축구공,베스타,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국외>아시아지역>중국,61
KATS-RECALL-0062,recall,기타어린이제품(줄넘기),줄넘기검정,대성상사,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,62
KATS-RECALL-0063,recall,기타어린이제품(줄넘기),2500꽈배기줄넘기파랑,(주)점프,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,63
KATS-RECALL-0064,recall,기타어린이제품(줄넘기),2500꽈배기줄넘기분홍,(주)점프,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,64
KATS-RECALL-0065,recall,기타어린이제품(줄넘기),리락쿠마줄넘기노랑,(주)필박스,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,65
KATS-RECALL-0066,recall,기타어린이제품(줄넘기),리락쿠마줄넘기(핑크),(주)필박스,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,66
KATS-RECALL-0067,recall,기타어린이제품(줄넘기),스마트한점프점프줄넘기노랑,(주)필박스,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,67
KATS-RECALL-0068,recall,기타어린이제품(줄넘기),스마트한점프점프줄넘기파랑,(주)필박스,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,68
KATS-RECALL-0069,recall,기타어린이제품(줄넘기),스마트한점프점프줄넘기연두,(주)필박스,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-25,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,69
KATS-RECALL-0070,recall,기타어린이제품(줄넘기),2000키쑥쑥!무지개줄넘기하늘(KH1611-05),해피프랜즈,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,70
KATS-RECALL-0071,recall,기타어린이제품(줄넘기),2000키쑥쑥!무지개줄넘기핑크(KH1611-05),해피프랜즈,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,71
KATS-RECALL-0072,recall,기타어린이제품(배드민턴라켓),스포타임배드민턴스쿨팩[낱개],스포타임,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,72
KATS-RECALL-0073,recall,기타어린이제품(학습용품),포인트수학줄자20개,레드포인트,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,기타어린이제품>,국내>아시아지역>대한민국,73
KATS-RECALL-0074,recall,완구(기타어린이제품),영어문장자석퍼즐리쉬조동사편,㈜길에듀월드,B365J001-0001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),MEGPUZZLE,수입,어린이>완구,국내>아시아지역>대한민국,74
KATS-RECALL-0075,recall,완구(퍼즐),에디슨퍼즐,신광사,B362A237-7001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,제조,어린이>완구,국내>아시아지역>대한민국,75
KATS-RECALL-0076,recall,완구(교육용완구),풍차[바람에너지2-유아용],㈜포디랜드,CB061H071-8001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국내>아시아지역>대한민국,76
KATS-RECALL-0077,recall,완구(교육용완구),수학창의교구,㈜포디랜드,CB061H071-8001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국내>아시아지역>대한민국,77
KATS-RECALL-0078,recall,완구(미술공예완구),색칠하기-공주와왕자스탬프,창의와놀이,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국내>아시아지역>대한민국,78
KATS-RECALL-0079,recall,완구(교육용완구),세탁기만들기,㈜향앤미과학,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,제조,어린이>완구,국내>아시아지역>대한민국,79
KATS-RECALL-0080,recall,완구(교육용완구),교육용놀이세트카드통장,주은교육㈜,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국내>아시아지역>대한민국,80
KATS-RECALL-0081,recall,완구(발사체완구),파워에어로켓발사대,프라임사이언스,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국외>아시아지역>중국,81
KATS-RECALL-0082,recall,완구(퍼즐),삼각형퍼즐,썬차일드,,유해물질 | 명령에따른리콜,교환수거수리환불,2020-08-26,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국내>아시아지역>대한민국,82
KATS-RECALL-0083,recall,유모차,ThuleSleek(11000001-11000019),(주)스엔코,CB131T013-8001CB132T004-8001,기타 | 자발적리콜,수리개선조치,2020-08-14,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),Thule,수입,어린이>유모차,국내>아시아지역>대한민국,83
